SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
COc1cc(O)cc(/C=C/c2cccc(OC)c2OC)c1,"COC1=CC=CC(=C1OC)/C=C/C2=CC(=CC(=C2)OC)O",32,Done,13.13,-3.04244,"grid_allosteric",0,-0.281641,-3.04244,-0.85401,,-1.47793,-0.5,0.00150957,0,0,0.189852,-0.120218,0,0,0,0,1,0,0,-3.04244,-21.7985,-3.75522,-25.5537,7.52129,-30.2997
Oc1cccc(/C=C/c2cc(O)cc(O)c2)c1,"C1=CC(=CC(=C1)O)/C=C/C2=CC(=CC(=C2)O)O",33,Done,18.54,-3.22388,"grid_allosteric",0,-0.447961,-3.22388,-1.00134,,-1.57689,-0.5,0,0,0.203521,0.280302,-0.181512,0,0,0,0,1,0,0,-3.22388,-15.7139,-5.97282,-21.6867,2.59587,-25.3636
O=C1C=C[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O1,"C1=CC(=O)O[C@@H]1CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O",34,Done,51.05,-5.9956,"grid_allosteric",0,-1.34962,-5.9956,-4.03132,,-0.599831,-0.5,0,0,0.237374,0.404108,-0.139102,0,0,0,0,1,-0.0172053,0,-5.9956,-9.85919,-17.9949,-27.8541,2.03225,-36.3781
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,"C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O",35,Done,26.64,-3.70109,"grid_allosteric",0,-0.929412,-3.70109,-1.33046,,-1.17695,-0.5,0,0,0.402089,0.34505,-0.413658,0,0,0,0,1,-0.0977553,0,-3.70109,-18.1873,-12.3922,-30.5794,7.73644,-29.7489
c1ccc2c(c1)C[C@@H]1NCCc3cc4c(c-2c31)OCO4,"C1CN[C@H]2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5",36,Done,3.13,-3.08301,"grid_allosteric",0,-0.244528,-3.08301,-0.919804,,-1.60197,-0.5,0,0,0.183297,0,0,0,0,0,0,1,0,0,-3.08301,-18.5288,-3.26038,-21.7892,0,-27.7266
COc1ccc2c(c1O)-c1nccc(C)c1C2=O,"CC1=C2C(=NC=C1)C3=C(C2=O)C=CC(=C3O)OC",37,Done,4.26,-3.44347,"grid_allosteric",0,-0.456763,-3.44347,-1.17627,,-1.27082,-0.5,0,0,0,0,0,0,0,0,0,1,-0.0396191,0,-3.44347,-19.1862,-6.09018,-25.2764,0.341992,-31.4243
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,"C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C",38,Done,3.09,-3.2317,"grid_allosteric",0,-0.395159,-3.2317,-0.98684,,-1.43006,-0.5,0,0,0.0803502,0,0,0,0,0,0,1,0,0,-3.2317,-17.8244,-5.26879,-23.0932,0,-28.761
C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@]5(CO)[C@H](O)C[C@@]34C)[C@]2(C)CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H]1O,"C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=CC5=C6CC(CC[C@@]6([C@@H](C[C@@]54C)O)CO)(C)C)C)C)O)O[C@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O",39,Done,213.13,-5.78212,"grid_allosteric",0,-1.14608,-5.78212,-3.29779,,-2.08611,0,0,0,0.938395,0.0210658,0,0,0,0,0,1,-0.21161,0,-5.78212,-26.6789,-15.281,-41.9599,4.20081,-55.6006
O=C1C=C[C@@H]2O[C@H](c3ccccc3)[C@@H](O)[C@@H]2O1,"C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]3[C@@H](O2)C=CC(=O)O3)O",40,Done,13.42,-4.3031,"grid_allosteric",0,-0.568101,-4.3031,-1.8122,,-1.49035,-0.5,0,0,0.199788,0.13609,-0.268325,0,0,0,0,1,0,0,-4.3031,-19.573,-7.57468,-27.1477,0.420086,-31.7063
O=C1C=CC[C@@H](/C=C/c2ccccc2)O1,"C1C=CC(=O)O[C@@H]1/C=C/C2=CC=CC=C2",41,Done,15.17,-2.64299,"grid_allosteric",0,-0.360457,-2.64299,-1.27257,,-0.962717,-0.5,0,0,0.10343,0.349321,0,0,0,0,0,1,0,0,-2.64299,-13.3863,-4.8061,-18.1924,8.16076,-19.5564
