	SMILES
130	CC(=O)/C=C/C1=CC(=C(C=C1)O)O
131	CC(=O)CC1(/C(=C\C2=CC(=C(C=C2)O)O)/C3=C(O1)C=C(OC3=O)/C=C/C4=CC(=C(C=C4)O)O)OC
132	C1=CC(=C(C=C1/C=C/C2=CC3=C(C4=CC(=C(C=C4C(=O)O3)O)O)C(=O)O2)O)O
133	C1=CC(=CC=C1/C=C/C2=CC3=C(C4=CC(=C(C=C4C(=O)O3)O)O)C(=O)O2)O
134	CC1=CC2=C(C3=CC(=C(C=C3C(=O)O2)O)O)C(=O)O1
135	CC1=CC(=O)C2(O1)C(=CC3=CC(=C(C=C23)O)O)C4=CC5=C(C6=CC(=C(C=C6C(=O)O5)O)O)C(=O)O4
136	C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]([C@@H](C2=CC(=C(C(=C2C3=C(C4=C(C=C13)OCO4)O)O)OC)OC)OC(=O)/C(=C\C)/C)(C)O)C
137	COC1=C(C=C(C=C1)C(=O)/C=C/C2=C(C(=C(C=C2O)OC)CC3=CC(=C(C=C3)O)O)OC)O
138	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O
139	C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@]24C=C[C@@]5([C@@]3(CC[C@H](C5)O)C)OO4)C
